corpus,match_position,left context,match,right_context,text_wordcount,chapter_n,text_titill,text_paragraphcount,text_ritstjorar,text_utgefandi,text_sentencecount,text_rit,text_utgafuar,
Kormáks saga,1208,Þorkell spyr nú brátt hvað um,er að vera,"og þykir sér horfa til óvirðingar og dóttur sinni ef Kormákur vill þetta eigi meir festa , sendir eftir Steingerði og fer hún heim .",10303,4,Kormáks saga,476,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,969,Íslendingasögur II,1986,
Vatnsdæla saga,7805,Ingimundur mælti til konungs : « Nú uni eg allvel við minn kost og stór heiður,er að verða,fyrir yðrum góðvilja en það stendur mér í hug er Finnan hefir mér spáð um ráðabreytni því að eg vildi að það sannaðist eigi að eg færi af ættjörðum mínum . »,29289,12,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Brennu-Njáls saga,34028,Gunnar mælti til þeirra : « Nú,er að verja,sig .,98938,54,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Gunnars saga Keldugnúpsfífls,7728,Þá mælti Gunnar : « Nú,er að verja,sig Örn . »,10219,9,Gunnars saga Keldugnúpsfífls,315,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,835,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),27195,Síðan hittu þeir Eyjólf og þá mælti Skegg-Broddi : « Óráðlegt,er að vilja,eigi sættast því að eigi munu allir í móti Þorvarði ganga .,27557,27,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Íslendinga þættir,99500,Þorsteinn svarar : « Við fá þykir mér að meta það sem hér,er að vinna,", »",110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Vatnsdæla saga,3104,Drottning mælti : « Á hitt er að líta herra hvað í,er að virða,orð Jökuls og dyggð mannsins að ganga á vald þitt .,29289,5,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Fljótdæla saga,16954,Hann svarar : « Vant,er að vita,hverjum vér skulum fagna .,27278,16,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Gísla saga Súrssonar (lengri gerð),3281,Gísli segir : « Ekki þarftu svo mikið af slíku að taka því að vant,er að vita,hverja raun gefur . »,23429,6,Gísla saga Súrssonar - lengri gerð,535,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1429,Íslendingasögur I,1985,
Hávarðar saga Ísfirðings,1527,Og mikið,er að þola,slíkan ójafnað . »,15402,2,Hávarðar saga Ísfirðings,401,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1194,Íslendingasögur II,1986,
Bjarnar saga Hítdælakappa,19182,« Eigi veit eg hverjum í,er að þyrma,", » segir hann .",19285,32,Bjarnar saga Hítdælakappa,493,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1090,Íslendingasögur I,1985,
Finnboga saga ramma,5831,En sá bær er þú,ert að kominn,heitir á Grænmó . »,23702,10,Finnboga saga ramma,560,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1755,Íslendingasögur I,1985,
Íslendinga þættir,120689,Glúmur svarar : « Margir fara þeir utan er ekki eru mannvænlegri en þú,ert að sjá,.,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,108194,Ívar svarar : « Hvert er nafn þitt eða hvaðan,ertu að kominn,? »,110609,8,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Grettis saga Ásmundarsonar,53362,"« Hér set eg grið , » segir hann , « allra manna á millum , einkanlega þeim sama Gest til nefndum er hér situr , og að undir skildum öllum goðorðsmönnum og gildum bændum og allrar alþýðu vígra manna og vopnfærra og allir aðrir héraðsmenn í Hegranessþingi eða hvaðan sem hvorir",eru að komnir,", nefndra manna eða ónefndra , handsölum grið og fullan frið komumanni hinum ókunna er Gestur nefnist , til gamans , glímu og gleði allrar , til hérvistar og heimferðar hvort er hann þarf að fara á legi eða landi eða flutningi .",61205,72,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Ljósvetninga saga (C-gerð),4613,Guðmundur kvað það enga nýlundu þar í Eyjafirði þótt menn riðu þar um hérað : « Nú er eitt til marks hvort þetta eru hér héraðsmenn að þessir menn munu ríða þar í hlið sem þeir koma að en ef lengra,eru að komnir,þá munu þeir ríða í þjóðhlið ef nokkurir eru merkismenn í förinni . »,27557,6,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Hænsna-Þóris saga,5287,Þá víkur hann Þorkatli hjá húsunum og mælti : « Tíðindi mikil,eru að segja,. »,8698,10,Hænsna-Þóris saga,342,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,626,Íslendingasögur II,1986,
Eyrbyggja saga,41043,"En þó að eg lifi enn um stundar sakir þá eru hér á landi ríkari menn en eg , þeir er lítinn frið munu gefa útlendum mönnum , þó að þeir séu eigi hingað nálægir sem þér",eruð að komnir,. »,38388,64,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Heimskringla,247781,Erkibiskup segir : « Svo mun hinn heilagi Ólafur konungur lögin hafa sett sem hann fékk þá jáorð og samþykki alþýðu til en ekki finnst það í hans lögum að bannað,sé að auka,guðs rétt . »,231502,21,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,236751,Vænti eg enn að skömm raun,sé að berjast,við þá .,231502,9,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Víglundar saga,10810,Ketill segir að ófært,sé að berjast,við sonu sína .,11825,19,Víglundar saga,308,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,810,Íslendingasögur II,1986,
Eyrbyggja saga,23080,"« Það mun vera gott ráð , » segir Björn , « en firr er það mínu skapi þó að við nokkurn mannamun",sé að eiga,"þar sem Snorri goði er , bróðir hennar . »",38388,40,Eyrbyggja saga,890,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2392,Íslendingasögur I,1985,
Þórðar saga hreðu,744,Þó að við nokkurn liðsmun,sé að eiga,þá er betra að láta líf sitt við sæmd ef þess verður auðið heldur en þola aðgerðalaust þvílíka vanvirðing .,15547,1,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Fljótdæla saga,29428,En þó get eg að ráðlegra,sé að fara,ofan í byggðina .,27278,26,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Vatnsdæla saga,29328,"« Mun eigi vel fallið að brytja fyrst höfuðið , » kvað Þorkell , « og velja stykkin fyrir þig og aldrei veit eg að þú sért nú svo frekur að torsótt",sé að fylla,þig . »,29289,44,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Heimskringla,95417,Þórarinn fann hvar til mælt var og svarar : « Fátt er svo einna hluta að örvænt,sé að hitti,annan slíkan og er það líklegast að hér sé enn svo . »,231502,85,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Þorsteins saga Síðu-Hallssonar,2667,Er og þetta mál sett með miklum fjandskap og látið sem vestan,sé að komið,en eg hygg að nær þér muni boðinn upp rísa og má slíks eigi ofhefnt verða . »,5396,3,Þorsteins saga Síðu-Hallssonar,150,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,303,Íslendingasögur II,1986,
Reykdæla saga,17553,"Og eigi ber okkur að minni nauðsyn til , þótt torvelt",sé að ná,"honum , að reka okkarra harma við hann . »",23678,20,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Brennu-Njáls saga,68043,En þó að því,sé að skipta,og segir þú það satt að annaðhvort sé að eg drepi þá eða þeir mig þá vil eg miklu heldur þola dauða af þeim en eg geri þeim nokkuð mein .,98938,109,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Heimskringla,191762,Mæltu það margir að þeir skyldu flýja og sögðu að ófært,væri að berjast,.,231502,61,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Fóstbræðra saga,13037,Kom honum í hug að vera mætti svo að dælla,væri að draga,"ef hálft hleypti , minnir hana á hið forna vinfengi hvert verið hafði .",31546,11,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Íslendinga þættir,19881,Gengur fjandinn eigi nú svo berlega í augsýn við mennina sem áður en þó fær hann mönnunum sína limu að fylgja og fram bera sín bölvuðu erindi sem nú er skammt á að minnast að fjandinn mælti fyrir munn þeim er í fyrstu talaði svo segjandi : « Nú er veginn einn konungsmaður en maklegt,væri að drepnir,væru tíu íslenskir fyrir einn norrænan . »,110609,3,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Harðar saga og Hólmverja,18450,Nú töluðu þeir um höfðingjarnir að ráð,væri að fara,eftir Helgu og drepa sonu þeirra Harðar .,19850,37,Harðar saga og Hólmverja,514,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1476,Íslendingasögur II,1986,
Heimskringla,56319,En er lengi var setið um nóttina þá minnti biskup konung á að mál,væri að ganga,að sofa .,231502,64,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Sturlunga,20451,Prestur kvað mundu mál manna að of frekt,væri að gengið,ef þeir tækju hann í brott og kvað meðallagi ráðlegt að hefja svo virðing sína of vændismenn að gera góða menn sér að óvinum .,260587,50,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Finnboga saga ramma,2390,"« Mun nú það fram koma , » segir Syrpa , « sem mér hefir lengi hugur sagt að hann Urðarköttur mundi illt af því hljóta er hann hljóp þangað á Eyri hvern dag og lét sem það eitt",væri að gera,að harkast þar . »,23702,6,Finnboga saga ramma,560,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1755,Íslendingasögur I,1985,
Reykdæla saga,4951,Og nú spyrja menn hvað það væri en hann sagði að ráðlegra,væri að gera,skaparanum tign í því að duga gömlum mönnum og leggja þar fé til og fæða upp börnin .,23678,7,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Gunnlaugs saga Ormstungu,10728,Hermundur Illugason undi lítt eftir Gunnlaug bróður sinn og þótti ekki hans hefnt að heldur þótt þetta,væri að gert,.,9596,13,Gunnlaugs saga ormstungu,356,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Vatnsdæla saga,17446,Þeir sögðu hann varla mega halda sæmd sinni ef eigi,væri að gert,.,29289,28,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
Grettis saga Ásmundarsonar,51084,Grettir sagði móður sinni hvað Guðmundur hinn ríki hafði ráðið honum og lést mundu leita ef kostur,væri að komast,í Drangey en þó kvaðst hann eigi þar vera mega nema hann fengi einnhvern dygðarmann að vera hjá sér .,61205,69,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Gull-Þóris saga,9908,Gunnar hafði riðið áður um daginn vestur á Þórisstaði og er hann var þar kominn spyr Þórir hvaðan hann,væri að kominn,.,11080,18,Gull-Þóris saga,166,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,792,Íslendingasögur II,1986,
Gunnars saga Keldugnúpsfífls,3298,Hún spurði hann tíðinda eða hvaðan hann,væri að kominn,en hann sagði slíkt sem hún spurði og settist niður hjá henni .,10219,4,Gunnars saga Keldugnúpsfífls,315,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,835,Íslendingasögur II,1986,
Íslendinga þættir,82585,Ólafur konungur gekk til handlauga og tók um ermi Þórarins og þá fann hann gullhringinn undir skyrtuermi hans sem Helgi hafði sagt og trúði hann þá svikum við sig og spurði þá með reiði hvaðan sá hringur,væri að kominn,.,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Sturlunga,184612,Sýndist þeim sem fjöldi liðs,væri að kominn,.,260587,327,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Sturlunga,199075,Og vakna sumir menn við þytinn og hugðu að ófriður,væri að kominn,", hljópu upp og brugðu vopnum .",260587,350,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Þórðar saga hreðu,12767,Össur spurði hann tíðinda eða hvaðan hann,væri að kominn,.,15547,9,Þórðar saga hreðu,472,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1202,Íslendingasögur II,1986,
Vopnfirðinga saga,7979,Honum var boðið þar að vera en hann vildi heim ríða um nóttina og hitti hann Koll á leið og kveðjast þeir og spurðust tíðinda og spyr Þorvarður hvaðan Kollur,væri að kominn,en Kollur spyr í móti því hann fari um nætur .,9571,15,Vopnfirðinga saga,274,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,627,Íslendingasögur II,1986,
Laxdæla saga,17345,Höskuldur öfundaði það ekki því að hann vildi jafnan að Ólafur,væri að kvaddur,öllum stórmálum .,57467,24,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Íslendinga þættir,120812,Mæltu þá norrænir menn þeir er leið sögðu að varlegra,væri að lægja,seglið og leggja skipið í rétt um nóttina en sigla til lands að ljósum degi .,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Íslendinga þættir,32358,Eg svaraði að óhægra,væri að launa,er eg vissi eigi hverjum að gjalda var eða hverju launa skyldi .,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Víga-Glúms saga,12573,Vigfús segir : « Um stærra vildi eg að þá,væri að mæla,. »,19117,18,Víga-Glúms saga,595,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1222,Íslendingasögur II,1986,
Fljótdæla saga,816,Ölviður kveðst eigi vita að um þetta,væri að málþarfa,og kvaðst engis máls vilja á unna « þykir mér það jafnskaplegt að hver vor bónda sé eigi óbirgur fyrir annars eign .,27278,2,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Sturlunga,197003,Gerðist þá kurr í liðinu að óráðlegt,væri að ríða,lengra .,260587,344,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Heimskringla,211265,"Síðan talaði hann fyrir þeim og sagði að Jamtur höfðu það illa gert er þeir höfðu snúist í brott frá Noregskonungum í hlýðni eða í skattgjöfum , tók þar til máls er Jamtur höfðu gengið undir ríki Hákonar konungs Aðalsteinsfóstra og verið síðan lengi undir Noregskonungum , innti og það hversu mörg þarfindi þeir máttu hafa af Noregi eða hversu mikill ómaki þeim",væri að sækja,til Svíakonungs það er þeir þurftu .,231502,15,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heimskringla,125509,Gunnsteinn segir að þá skipti straumum og mál,væri að sigla,.,231502,133,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Íslendinga þættir,33147,En þótt yður þyki þetta nokkuð strangt er áður hafið búið ferðir yðrar þá ber oss nauðsyn til slíkra álaga en betra þætti oss að um kyrrt,væri að sitja,og færi hver sem vildi . »,110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Heimskringla,75123,"En heldur vildi eg , þótt því",væri að skipta,"að þú yrðir yfirkonungur í Noregi þótt þú lifðir eigi lengur í konungdóminum en Ólafur konungur Tryggvason heldur en hitt , að þú værir eigi meiri konungur en Sigurður sýr og yrðir ellidauður . »",231502,35,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Laxdæla saga,34225,Bolli segir hvert orðtak manna var á um vináttu þeirra Kjartans og Ingibjargar konungssystur og kvað það nær sinni ætlan að konungur mundi heldur gifta honum Ingibjörgu en láta hann lausan ef því,væri að skipta,.,57467,42,Laxdæla saga,1229,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4148,Íslendingasögur II,1986,
Víglundar saga,9267,Skyldi eg heldur verja hann en vont gera ef því,væri að skipta,. »,11825,17,Víglundar saga,308,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,810,Íslendingasögur II,1986,
Sturlunga,55253,Þorvaldur kveðst eigi hafa ráð á því að selja Ólaf fram en eigi örvænt ef brátt,væri að skyggnst,að þeir mundu sjá hann .,260587,108,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Heimskringla,56370,"Þá mælti biskup til konungs , segir að mál",væri að sofa,.,231502,64,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Bandamanna saga,4890,En svo mundi mér sýnast sem ráðlegra,væri að taka,þann kostinn er bæði væri að vel sæmdi fyrir guði og mönnum .,9384,6,Bandamanna saga - Konungsbók,280,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,650,Íslendingasögur I,1985,
Heimskringla,34736,"Kom svo að þau sömdu þetta með einkamálum , að Grjótgarður skyldi halda njósn til nær líkast",væri að veita,atferð Sigurði jarli og gera þá orð Haraldi konungi .,231502,4,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Sturlunga,13464,Margir tóku undir að þetta mundi víst tíðindum gegna og einsætt,væri að þiggja,"heldur sæmd og virðingarheimboð að Þórðar heldur en að leggja sjálfan sig í slíka mannhættu og menn sína , að ganga til bardaga á móti svo miklu ofurefli og sýna svo mikinn ofsa að gæta eigi sómans fyrir því en hættulaust mundi að ríða um morguninn eða á tveggja nátta fresti og tóku upp allt hjal Þórðar .",260587,31,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Fóstbræðra saga,34610,Þormóður kvað hann reyna skyldu hversu sárin,væri að þola,.,31546,1,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Ljósvetninga saga (A-gerð),641,Síðan mælti Sölmundur að einsætt,væri að þola,slíkt eigi .,7490,1,Ljósvetninga saga - A-gerð,293,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,548,Íslendingasögur II,1986,
Ljósvetninga saga (C-gerð),646,Síðan mælti Sölmundur að einsætt,væri að þola,slíkt eigi .,27557,1,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Sturlunga,60035,"Þeir bræður Þorsteinn og Snorri bjuggust við lífláti , þógu hendur sínar og kembdu sér sem til fagnaðar",væru að fara,.,260587,114,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Flóamanna saga,13839,Hann heilsar þeim og spyr hverjir þeir væru eða hvaðan þeir,væru að komnir,.,22418,24,Flóamanna saga,553,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1725,Íslendingasögur I,1985,
Gull-Þóris saga,3267,Þeir spyrja er til komu hverjir svo djarfir,væru að tóku,virkið með valdi .,11080,5,Gull-Þóris saga,166,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,792,Íslendingasögur II,1986,
Heimskringla,188110,Síðan tjáði Finnur fyrir Hákoni hversu mikill munur honum,var að betra,"var að taka af konungi svo mikil metorð sem hann kynni sjálfur að beiða heldur en hætta til þess að reisa orustu í móti konungi þeim er hann var áður þjónustubundinn við , segir að hann mun fara ósigur « og hefir þú þá fyrirgert bæði fé og friði .",231502,47,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Heiðarvíga saga,14490,Gera nú bardaga mikinn og fellur mjög lið konungs er við ofurefli,var að brjótast,og gerðu áður mörg stór verk .,12941,43,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Egils saga Skalla-Grímssonar,13769,Bjuggu þeir um lík Þórólfs eftir siðvenju svo sem títt,var að búa,"um lík göfugra manna , settu eftir hann bautasteina .",62240,22,Egils saga Skalla-Grímssonar,1103,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4066,Íslendingasögur I,1985,
Reykdæla saga,20697,Eyjólfur talar til Glúms að rétt,var að búa,þar mál til er þeir mættu framast komast svo að þeim væri óhætt .,23678,24,Reykdæla saga,347,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1199,Íslendingasögur II,1986,
Fóstbræðra saga,8761,Hann hleypur úr kvíadyrunum þar sem hann,var að byrgja,kvíadyrnar .,31546,8,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Íslendinga þættir,72455,"En við þessi ummæli konungs þá er það sagt að drottning sjálf fyrst að upphafi latti á alla vega þessar ferðar og sagði , sem var , allóráðlega stofnað þar sem við heljarmenn",var að eiga,"er illvirkjarnir voru , svo mikið sem þar var í ábyrgð er konungurinn var sjálfur því að öllum þótti vís von að hann mundi látast fyrir þeim og fá minna hlut í þeirra skiptum ef svo yrði sem líklegt mundi þykja fyrir sakir æsku konungs þeirra en harðfengi berserkjanna .",110609,3,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Fóstbræðra saga,19175,Hljóp hann þá aftur í stafninn og varðist þaðan því að við mikinn liðsmun,var að etja,svo sem Þormóður orti um :,31546,17,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Fóstbræðra saga,14384,"Þá snýr Þorgeir að húskörlum Snorra og sækir þá fimlega , hlífandi með skildi , höggvandi með exi þeirri er vön",var að fá,mörgum manni náttstaðar .,31546,12,Fóstbræðra saga,856,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2144,Íslendingasögur I,1985,
Vatnsdæla saga,9205,Þá leið á sumarið því að mart,var að færa,en farið síð og komu nær vetri í dal þann er allur var víði vaxinn .,29289,14,Vatnsdæla saga,826,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1832,Íslendingasögur II,1986,
